Yahoo Ticker,Company Name,Home Exchange,Portfolio Weight (%),Share Price (Local),Local Currency,P/E TTM,Forward P/E,ROA (%),ROE (%),Debt/Equity,EBITDA (USD),Reasoning
8591.T,ORIX Corp,Tokyo (TSE),14.78,4358,JPY,11.2,9.8,2.5,10.4,1.2,5800000000,Solid fundamentals anchor the portfolio.
1681.HK,Consun Pharmaceutical,Hong Kong (HKEX),9.44,15.01,HKD,11.5,9.66,9,15,0.05,158000000,"Perfect thesis fit: High ROE, how debt."
2469.T,Hibino Corp (Queued),Tokyo (TSE),9,2715,JPY,16.2,,4,9,0.35,45000000,Deep value / Asset play.
6323.T,Rorze Corp,Tokyo (TSE),7.09,2159.5,JPY,19.8,14.3,12,18,0.21,520000000,Growth play. Slightly expensive but high quality.
PZU.WA,Powszechny Zaklad Ubezpieczen,Warsaw (WSE),5.89,65.58,PLN,8.9,7.8,2.3,18.6,,1800000000,Defensive yield.
3877.HK,CSSC Hong Kong Shipping,Hong Kong (HKEX),5.38,2.09,HKD,7.1,6.5,3.5,9,1.5,396000000,Counter-cyclical hedge.
ANDR.VI,Andritz AG,Vienna (WBAG),4.88,63.53,EUR,13.4,11.16,4,16,0.35,1100000000,Quality industrial.
KGH.WA,KGHM Polska Miedz,Warsaw (WSE),4.77,248.4,PLN,15.1,8.56,3,7,0.45,2200000000,Commodity exposure.
BFSA.DE,Befesa SA,Xetra (ETR),4.4,28.18,EUR,12.8,11.5,3,7,0.85,230000000,ESG recovery play.
HMY,Harmony Gold Mining,NYSE (ADR),4.24,20.58,USD,15.3,,12,23,0.15,1400000000,Gold beta.
SUZ,Suzano SA,NYSE (ADR),3.92,9.02,USD,9.7,7.66,4,6,2.05,3500000000,"Cyclical risk, discovered, but low P/E + flow."
PINFRA.MX,Promotora y Operadora,Mexico (BMV),3.86,259.09,MXN,6.9,13.49,7,14,0.15,1200000000,Stable infra cash flows.
7740.T,Tamron Co Ltd,Tokyo (TSE),3.41,1027,JPY,12.7,,5,10,0.05,148000000,Niche quality.
OTP.HU,OTP Bank PLC,Budapest (BET),3.1,34480,HUF,8.4,7.91,2.5,21,0.94,3800000000,Geopolitical value play.
FFH.TO,Fairfax Financial Holdings,Toronto (TSX),2.83,2433,CAD,8.6,10.14,2,17,0.45,6600000000,Long-term compounder.
9168.T,Rise Consulting Group,Tokyo (TSE),2.63,794,JPY,12.6,,6,11,0.05,15000000,High growth/ROE at low valuation.
BS6.SI,Yangzijiang Shipbuilding,Singapore (SGX),2.57,3.49,SGD,10,8.37,7,16,0.1,750000000,Strong order book.
VALE,Vale SA,NYSE (ADR),2.52,12.62,USD,9.9,6.61,5,13,0.45,16000000000,Too discovered but cheap.
TTE.PA,TotalEnergies SE,Paris (Euronext),1.45,55.59,EUR,10.6,9.33,5,12,0.3,45000000000,Energy yield.
OGC.TO,OceanaGold Corp,Toronto (TSX),1.33,38.75,CAD,16.4,6.35,6,20,0,400000000,Debt free gold play.
BOL.ST,Boliden AB,Stockholm (OM),0.87,478.1,SEK,16.5,13.58,4,8,0.16,1100000000,Nordic stability.
RHBBANK,RHB Bank Bhd,Kuala Lumpur,0.83,7.48,MYR,10,9.41,1,10,0.76,1200000000,Stable dividend.
SLVP,iShares MSCI Global Silver,NYSE (Arca),0.82,33.7,USD,,,,,,,Silver beta.
